bug_id,title,severity,status,assigned_to,reported_by,created_date,resolved_date,component,description,customer_impacted,sprint
ENG-2912,Auth token expiry incorrect during DST transitions,P2,Resolved,Elena Vasquez,QA Team,2026-03-10,2026-03-14,Auth,"JWT token expiry was calculated using server local time (US/Pacific) rather than UTC, causing 1-hour expiry discrepancy during daylight saving time transitions (March 8 2026). Tokens expired 1 hour early for US Pacific timezone users.",All US customers (March 8-10),Sprint 41
ENG-2856,User SCIM sync fails when group name contains apostrophe,P3,Resolved,Rachel Kim,Meridian Enterprises,2026-02-20,2026-03-01,User Management,"SCIM 2.0 group sync fails with 500 error when group display name contains an apostrophe (e.g., ""IT Department's Users""). SQL query not properly escaped. Fixed by using parameterized queries in SCIM group handler.",Meridian Enterprises,Sprint 40
ENG-2823,Mobile app search results page fails to paginate on iOS 17.3,P3,Open,Frontend Team,Customer Report,2026-02-05,,Frontend,"Search results on mobile app (iOS 17.3+) fail to load additional pages when scrolling. The 'load more' button returns a blank state. Appears to be a React Native compatibility issue with iOS 17.3 scroll event changes. Investigation ongoing.",Multiple mobile users,Sprint 42
ENG-2867,Invoice PDF generation fails for accounts with >500 users,P2,Resolved,Wei Zhang,Billing Team,2026-02-25,2026-03-12,Billing,Invoice PDF generation times out for Enterprise accounts with >500 licensed users. PDF renderer was synchronously fetching all user records. Fixed by implementing paginated fetching and async PDF generation with email delivery.,ACME Corp (487 users); SkyBridge Ltd,Sprint 41
ENG-2821,Elasticsearch index alias update causes 30-second downtime,P2,Resolved,Rajesh Kumar,SRE Team,2026-02-01,2026-02-18,Search,Monthly index rotation (alias update from previous month to new month) caused 30-second search unavailability due to alias swap not being atomic. Fixed by using Elasticsearch aliases update API with atomic add/remove.,All tenants (monthly - low impact),Sprint 39
ENG-2803,Notification emails not delivered to @acme-corp.com addresses,P1,Resolved,Dmitri Petrov,James Harrington (ACME Corp),2026-01-22,2026-02-05,Notification,"Notification emails to acme-corp.com domain were being rejected by ACME's email gateway due to incorrect SPF record. NovaTech's SendGrid sending IP range was not included in the SPF record. Fixed by updating DNS SPF record and coordinating with ACME IT.",ACME Corp,Sprint 38
ENG-2789,Analytics dashboard shows wrong user count for sub-accounts,P3,Open,Data Team,GlobalTech Inc,2026-01-18,,Analytics,"For customers with organizational hierarchy (parent + sub-accounts), analytics dashboard shows only the sub-account user count when a parent admin views the dashboard. Should show aggregate count. Data query missing UNION across tenant hierarchy.",GlobalTech Inc; Pinnacle Systems,Sprint 42
ENG-2916,Document search returns deleted documents intermittently,P1,In Progress,Rajesh Kumar,QA Automation,2026-03-12,,Search,"After document deletion, the document occasionally appears in search results for up to 15 minutes. Root cause: Elasticsearch index update after deletion is processed asynchronously via Kafka; consumer lag causes delay. Short-term fix: increase Kafka consumer priority for delete events. Long-term: add tombstone documents.",Multiple customers,Sprint 41
ENG-2808,SSO login fails for Azure AD tenants with MFA enforced,P2,Resolved,Elena Vasquez,Pinnacle Systems,2026-01-25,2026-02-10,Auth,"SAML SSO login flow fails for customers using Azure AD with MFA enforced when the MFA challenge takes >30 seconds to complete. SAML assertion timeout was set to 30 seconds. Fixed by increasing assertion validity window to 300 seconds.",Pinnacle Systems,Sprint 39
ENG-2845,Bulk document import job fails silently after 1000 documents,P2,Resolved,Wei Zhang,GlobalTech Inc,2026-02-16,2026-03-04,Document Service,Bulk import jobs importing >1000 documents silently stop processing after document 1000 with no error. Root cause: SQS message batch limit not handled correctly in processor loop. Fixed by implementing proper SQS pagination in bulk processor.,GlobalTech Inc,Sprint 40
ENG-2899,Search export generates corrupted CSV for documents with embedded commas,P3,Open,Data Team,Support Team,2026-03-08,,Search,Search export to CSV does not properly escape fields containing commas. Results in malformed CSV where rows are split incorrectly. Fields should be quoted per RFC 4180.,Multiple customers,Sprint 42
ENG-2777,User profile photos not loading for SSO-provisioned users,P3,Resolved,Rachel Kim,Internal QA,2026-01-10,2026-01-28,User Management,Profile photos for users provisioned via SCIM/SSO were not loading. SCIM provisioner sends photo as base64 but the system expected a URL. Fixed by adding base64 photo handling in SCIM user handler.,None (cosmetic),Sprint 38
ENG-2911,Kafka consumer lag spikes during peak hours (9-10 AM PT),P2,In Progress,Kevin Osei,SRE Monitoring,2026-03-11,,Infrastructure,Document processing Kafka consumer group shows 50k+ message lag during 9-10 AM PT peak. Causes notification delays of up to 8 minutes. Root cause: consumer group has insufficient partitions for peak throughput. Increasing partition count from 12 to 24.,All customers (delay),Sprint 41
ENG-2900,Password complexity validation not enforced on API key creation,P2,In Progress,Anita Sharma,Security Audit,2026-03-08,,Auth,API key creation endpoint does not enforce minimum entropy requirements. Users can create API keys with predictable patterns. Fix: add entropy validation to API key generation with rejection of low-entropy keys.,None (risk),Sprint 42
ENG-2854,Workflow service DAG execution ignores timeout on long-running steps,P2,Resolved,Aisha Okonkwo,Product Team,2026-02-19,2026-03-06,Workflow,Workflow steps configured with explicit timeouts were not being cancelled when the timeout elapsed. The Celery task was correctly configured but the DAG execution engine was not propagating the revoke signal. Fixed.,3 customers using workflows,Sprint 40
ENG-2919,Admin user cannot deactivate their own account,P3,Open,Rachel Kim,QA Team,2026-03-14,,User Management,"An admin user attempting to deactivate their own account receives a misleading error: 'User not found' instead of 'Cannot deactivate your own account'. UI should display a helpful error message and prevent the action clearly.",None (UX issue),Sprint 42
ENG-2883,Integration with Slack sends duplicate notifications on retry,P2,Resolved,Wei Zhang,Meridian Enterprises,2026-03-01,2026-03-13,Integration,Slack integration was sending duplicate notifications when the Slack API returned a 503 and the integration service retried. Fix: implemented idempotency key (using notification_id) in Slack API calls to prevent duplicates on retry.,Meridian Enterprises,Sprint 41
ENG-2863,AI summarization returns empty response for scanned PDFs,P2,In Progress,Aisha Okonkwo,Data Team QA,2026-02-23,,AI Service,"Scanned PDF documents (no embedded text layer) return an empty string from the AI summarization endpoint. Root cause: document processing pipeline does not run OCR on scanned PDFs before passing content to AI service. Fix: integrate Tesseract OCR in document processing pipeline for PDF files without text layer.",Multiple customers using AI features,Sprint 42
ENG-2870,Analytics API rate limit too low for scheduled report generation,P3,Resolved,Elena Vasquez,Customer Success,2026-02-26,2026-03-10,Analytics,Enterprise customers running scheduled nightly reports via Analytics API were hitting rate limits. The 5000 req/min Enterprise limit was shared across all API endpoints. Fix: analytics export endpoints now have a separate rate limit pool (200 req/min dedicated).,GlobalTech Inc; Meridian Enterprises,Sprint 41
ENG-2930,Search filter by tag returns 500 error when tag contains special characters,P2,Open,Rajesh Kumar,QA Team,2026-03-17,,Search,Searching with a tag filter where the tag contains characters like brackets or percent signs causes a 500 Internal Server Error. Query is not properly URL-decoding and sanitizing tag filter values before passing to Elasticsearch.,All customers (tag filter users),Sprint 42
